gpu_price_index,offers,date,timestamp
4.7456,100,2026-06-17,2026-06-17 10:33:13
4.2466,100,2026-06-17,2026-06-17 10:33:28
4.6722,100,2026-06-17,2026-06-17 10:40:14
4.5018,100,2026-06-17,2026-06-17 10:53:44
4.469,100,2026-06-17,2026-06-17 10:55:34
3.841,100,2026-06-17,2026-06-17 11:31:22
3.8713,100,2026-06-17,2026-06-17 11:41:45
4.1187,100,2026-06-17,2026-06-17 11:49:24
4.5359,100,2026-06-17,2026-06-17 11:52:58
4.2554,100,2026-06-17,2026-06-17 12:08:30
4.2322,100,2026-06-17,2026-06-17 12:11:09
4.3583,100,2026-06-17,2026-06-17 12:13:06
4.2133,100,2026-06-17,2026-06-17 12:19:58
4.5871,100,2026-06-17,2026-06-17 12:21:47
4.1226,100,2026-06-17,2026-06-17 12:55:00
4.4556,100,2026-06-17,2026-06-17 13:01:49
